,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,MW,HeavyAtomMolWt,LogP,MolMR,NumHDonors,NumHAcceptors,NumAtoms,AR,TPSA,RB,bioactivity_class
4375,CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,IC50,1200.0,nM,239.746,221.60199999999995,3.2993000000000023,68.13320000000003,1.0,2.0,16.0,1.0,29.1,3.0,inactive
4376,CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,43.0,nM,450.5730000000001,418.3170000000002,5.3212000000000055,128.23800000000003,0.0,3.0,33.0,3.0,15.71,10.0,active
4377,CHEMBL3407784,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,IC50,253.0,nM,458.93100000000015,439.7790000000002,1.0114999999999994,115.83600000000001,4.0,9.0,31.0,3.0,125.19000000000001,3.0,inactive
4378,CHEMBL3407785,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Br)s4)nc31)[C@H](O)[C@@H]2O,IC50,229.0,nM,503.3820000000001,484.2300000000002,1.1205999999999992,118.52600000000002,4.0,9.0,31.0,3.0,125.19000000000001,3.0,inactive
4379,CHEMBL2064645,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(F)c(F)c4)nc31)[C@H](O)[C@@H]2O,IC50,92.0,nM,454.4370000000001,434.2770000000002,0.5747999999999993,112.86500000000004,4.0,8.0,33.0,3.0,125.19000000000001,3.0,active
4380,CHEMBL4071867,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)cc31)[C@H](O)[C@@H]2O,IC50,163.0,nM,457.94300000000015,437.78300000000024,1.6164999999999996,118.04100000000001,4.0,8.0,31.0,3.0,112.30000000000001,3.0,inactive
4381,CHEMBL3612932,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NC)C[C@H]12,IC50,8700.0,nM,486.98500000000024,463.80100000000033,1.7916999999999996,125.07000000000001,4.0,9.0,33.0,3.0,125.19,5.0,inactive
4382,CHEMBL4066973,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,IC50,127.0,nM,459.9150000000002,441.7710000000003,1.4385,113.78530000000003,3.0,10.0,31.0,3.0,122.39,3.0,inactive
4383,CHEMBL4093756,CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,IC50,107.0,nM,473.9420000000001,453.78200000000015,1.8285999999999993,118.40230000000001,3.0,10.0,32.0,3.0,122.39000000000001,4.0,inactive
4384,CHEMBL4071830,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,IC50,246.0,nM,504.3660000000002,486.2220000000003,1.5475999999999996,116.47530000000003,3.0,10.0,31.0,3.0,122.39,3.0,inactive
