,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,AR,RB,bioactivity_class,bioactivity_class_encoded
5402,CHEMBL4066973,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,Inhibition,103.1874848597736,%,459.9150000000002,1.4385,3.0,10.0,3.0,3.0,inactive,1
5403,CHEMBL4093756,CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,Inhibition,104.8147721128833,%,473.9420000000001,1.8286,3.0,10.0,3.0,4.0,inactive,1
5404,CHEMBL4071830,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,Inhibition,104.739003438913,%,504.3660000000002,1.5475999999999996,3.0,10.0,3.0,3.0,inactive,1
5405,CHEMBL4097426,CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Br)s4)nc31)[C@H](O)[C@@H]2O,Inhibition,106.36629069202314,%,518.3930000000001,1.9377,3.0,10.0,3.0,4.0,inactive,1
5406,CHEMBL4078926,CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)cc31)[C@H](O)[C@@H]2O,Inhibition,109.24352204942066,%,472.9540000000001,2.4336000000000007,3.0,9.0,3.0,4.0,inactive,1
5407,CHEMBL4105127,CCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,Inhibition,106.44205936599413,%,487.96900000000016,2.218700000000001,3.0,10.0,3.0,5.0,inactive,1
5408,CHEMBL4072303,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC(C)C)C[C@H]12,Inhibition,136.0,%,487.9690000000002,2.2171000000000003,3.0,10.0,3.0,4.0,inactive,1
5409,CHEMBL4068757,CCCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,Inhibition,108.0693466191045,%,501.9960000000002,2.608800000000001,3.0,10.0,3.0,6.0,inactive,1
5410,CHEMBL4081194,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OCCC(C)C)C[C@H]12,Inhibition,106.24225172676788,%,516.0230000000004,2.854800000000001,3.0,10.0,3.0,6.0,inactive,1
5411,CHEMBL4105446,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OCCC3CCCCC3)C[C@H]12,Inhibition,80.0,%,556.0880000000002,3.7791000000000032,3.0,10.0,3.0,6.0,inactive,1
5412,CHEMBL4089071,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OCc3ccccc3)C[C@H]12,Inhibition,80.0,%,536.0130000000001,3.008900000000001,3.0,10.0,4.0,5.0,inactive,1
5413,CHEMBL4067857,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OCCc3ccccc3)C[C@H]12,Inhibition,80.0,%,550.0400000000002,3.051400000000002,3.0,10.0,4.0,6.0,inactive,1
5414,CHEMBL4096775,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OCCCc3ccccc3)C[C@H]12,Inhibition,80.0,%,564.0670000000002,3.4415000000000022,3.0,10.0,4.0,7.0,inactive,1
5415,CHEMBL4078748,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)O)C[C@H]12,Inhibition,101.94190133265052,%,445.88800000000015,1.3501,4.0,9.0,3.0,3.0,inactive,1
5416,CHEMBL4090355,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc32)[C@H](O)[C@@H]1O,Inhibition,95.35115994959574,%,448.89200000000005,0.347899999999999,4.0,10.0,3.0,3.0,inactive,1
5417,CHEMBL4086593,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@@H]1O[C@H](C(=O)NC)[C@@H](O)[C@H]1O,Inhibition,98.60573445581647,%,476.9460000000002,1.1280999999999994,4.0,10.0,3.0,5.0,inactive,1
5418,CHEMBL4092411,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@@H]1O[C@H](C(=O)OC)[C@@H](O)[C@H]1O,Inhibition,99.72850179038512,%,449.87600000000015,0.7748999999999997,3.0,11.0,3.0,3.0,inactive,1
5419,CHEMBL4076989,CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,Inhibition,195.0,%,376.93600000000015,3.2098000000000004,2.0,5.0,2.0,7.0,active,0
5420,CHEMBL4077643,Cc1nc(O)cc(C[S+]([O-])C(c2ccccc2)c2ccccc2)n1,Inhibition,136.32898469149302,%,338.432,3.528920000000002,1.0,4.0,3.0,5.0,inactive,1
5421,CHEMBL4084700,[O-][S+](Cc1cccs1)C(c1ccccc1)c1ccccc1,Inhibition,158.7758201990164,%,312.459,4.786400000000003,0.0,2.0,3.0,5.0,inactive,1
5422,CHEMBL2386850,Cc1cc(Oc2cncnc2)cc(C(=O)Nc2ccc(F)cn2)n1,Inhibition,134.0,%,325.303,2.7587200000000003,1.0,6.0,3.0,4.0,inactive,1
5423,CHEMBL2386849,Cc1cc(Oc2cncc(F)c2)cc(C(=O)Nc2ccc(F)cn2)n1,Inhibition,186.0,%,342.305,3.5028200000000016,1.0,5.0,3.0,4.0,active,0
5424,CHEMBL4074417,CC(=O)c1cccc(-c2nnnn2CCN2CCC(Cc3ccccc3)CC2)c1,Inhibition,155.0,%,389.5030000000001,3.4974000000000025,0.0,6.0,3.0,7.0,inactive,1
5425,CHEMBL4068516,O=[N+]([O-])c1ccc(-c2nnnn2CCN2CCC(Cc3ccccc3)CC2)cc1,Inhibition,155.0,%,392.46300000000014,3.203000000000002,0.0,7.0,3.0,7.0,inactive,1
5426,CHEMBL4095847,c1ccc(CC2CCN(CCn3nnnc3-c3cccc4ccccc34)CC2)cc1,Inhibition,155.0,%,397.5260000000002,4.448000000000004,0.0,5.0,4.0,6.0,inactive,1
5427,CHEMBL4061167,c1ccc(CC2CCN(CCCn3nnnc3-c3ccccc3)CC2)cc1,Inhibition,155.0,%,361.4930000000001,3.6849000000000025,0.0,5.0,3.0,7.0,inactive,1
5428,CHEMBL4083042,FC(F)(F)c1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,Inhibition,155.0,%,429.4900000000002,4.703700000000004,0.0,5.0,3.0,7.0,inactive,1
5429,CHEMBL4099475,CC(=O)c1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,Inhibition,155.0,%,403.53000000000014,3.887500000000003,0.0,6.0,3.0,8.0,inactive,1
5430,CHEMBL4072566,O=[N+]([O-])c1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,Inhibition,155.0,%,406.4900000000001,3.5931000000000024,0.0,7.0,3.0,8.0,inactive,1
5431,CHEMBL4091738,COc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,Inhibition,155.0,%,391.5190000000001,3.693500000000003,0.0,6.0,3.0,8.0,inactive,1
5432,CHEMBL4063974,Fc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,Inhibition,155.0,%,379.48300000000006,3.8240000000000025,0.0,5.0,3.0,7.0,inactive,1
